zone,year,month,hours_in_month,price_eur_mwh,temp_c,flow_denmark_gw,flow_finland_gw,flow_germany_gw,flow_lithuania_gw,flow_norway_gw,flow_poland_gw,flow_sum_gw,cross_border_trading_mw,nuclear_mw,fossil_gas_mw,hydro_reservoir_mw,other_mw,wind_onshore_mw,solar_mw,load_mw,residual_load_mw,renewable_share_load_pct,renewable_share_generation_pct,conventional_thermal_power_net_gwh,electricity_gas_heat_and_water_plants_gwh,hydro_power_including_pump_power_net_gwh,losses_gwh,mining_and_manufacturing_gwh,nuclear_power_condensing_net_gwh,other_residential_sector_services_etc_gwh,railways_trams_and_bus_traffic_gwh,solar_power_on_grid_gwh,total_production_gwh,total_usage_gwh,wind_power_gwh,net_position_gwh
SE1,2021,1,718,45.14814763231199,-11.519220055710303,-0.2058857938718663,-1.6146545961002785,-0.22344289693593328,-0.40041504178272963,1.301516713091922,-0.34360863509749295,-1.4864484679665737,-1836.0437325905298,6772.389972144847,0.0,10982.707520891365,1501.7158774373258,2297.291086350975,0.0,20420.288300835655,18122.99721448468,65.2973537604457,61.417270194986074,157.0,18.0,2320.0,114.0,567.0,0.0,507.0,22.0,0.0,2690.0,1228.0,213.0,1462.0
SE1,2021,2,659,43.17141122913504,-9.856449165402127,0.42162822458270105,-1.8455933232169952,0.027006069802731437,-0.49160091047040966,0.5394339908952963,-0.39323823975720773,-1.7422397572078907,-2095.1053110773905,6967.083459787557,0.0,10298.481031866464,1444.493171471927,3363.414264036419,0.0,20676.67981790592,17313.2655538695,66.80440060698027,61.64977238239758,134.0,16.0,1973.0,89.0,528.0,0.0,431.0,21.0,0.0,2491.0,1085.0,384.0,1406.0
SE1,2021,3,728,25.028104395604394,-2.385714285714286,-0.5426112637362636,-1.6079107142857143,-0.18222390109890096,-0.30322664835164814,-0.2253489010989008,-0.4783969780219776,-3.3395686813186805,-3482.70879120879,6837.391483516483,0.0,8589.791208791208,1223.4258241758241,3940.480769230769,0.0,17685.534340659342,13745.05357142857,71.23035714285714,60.65137362637361,136.0,15.0,1761.0,78.0,589.0,0.0,349.0,21.0,0.0,2460.0,1052.0,563.0,1408.0
SE1,2021,4,708,26.46871468926553,1.59774011299435,-0.6880437853107346,-1.7445677966101696,-0.4387132768361582,-0.2668926553672315,-0.6175042372881359,-0.4781935028248582,-4.233882768361583,-4407.958192090396,6903.323446327684,0.0,8182.911016949152,1084.5593220338983,3677.0141242937852,0.0,16027.358757062148,12350.344632768361,74.15395480225989,59.53276836158191,124.0,12.0,1655.0,65.0,542.0,0.0,303.0,19.0,0.0,2228.0,941.0,449.0,1287.0
SE1,2021,5,735,38.39205442176871,6.285306122448982,-0.6489346938775509,-1.4633823129251697,-0.21865850340136062,-0.18762040816326533,0.33791428571428567,-0.3542517006802725,-2.5349346938775508,-2781.0729251700673,5128.556462585034,0.0,8473.27619047619,828.8625850340136,1999.0340136054422,0.0,14193.092517006802,12194.05850340136,74.22421768707481,63.904217687074855,114.0,9.0,1665.0,61.0,575.0,0.0,226.0,18.0,2.0,2047.0,889.0,266.0,1158.0
SE1,2021,6,705,34.49492198581559,15.232340425531925,-0.5679787234042556,-1.6983886524822702,-0.07469503546099274,-0.21774893617021276,0.5296056737588651,-0.2752510638297869,-2.304398581560283,-2556.5914893617028,4622.933333333333,0.0,7511.002836879433,581.2921985815602,1864.3744680851064,0.0,12715.187234042553,10850.812765957447,73.91276595744675,64.12794326241134,100.0,8.0,1673.0,68.0,554.0,0.0,139.0,17.0,2.0,2015.0,786.0,240.0,1229.0
SE1,2021,7,733,50.93946793997275,18.604911323328793,-0.8026234652114598,-2.1262469304229192,-0.18654706684856734,-0.5429508867667123,0.7913055934515691,-0.30474624829467845,-3.171766712141882,-3296.9667121418815,4660.4188267394275,0.0,7384.710777626194,514.4201909959072,2057.843110504775,0.0,11919.792633015008,9861.949522510233,79.63969986357438,64.45088676671212,89.0,7.0,2282.0,87.0,485.0,0.0,265.0,16.0,2.0,2698.0,860.0,325.0,1838.0
SE1,2021,8,730,57.82650684931506,13.838356164383558,-0.1514986301369863,-1.711517808219178,-0.03306164383561642,-0.45949452054794526,0.054382191780822015,-0.2941739726027396,-2.5953506849315073,-2771.0268493150675,4303.102739726028,0.0,7450.560273972603,509.8205479452055,2436.321917808219,0.0,12496.732876712329,10060.410958904109,79.19561643835617,66.92082191780824,71.0,8.0,2053.0,75.0,525.0,0.0,248.0,17.0,2.0,2400.0,873.0,274.0,1527.0
SE1,2021,9,695,55.441597122302156,8.313956834532371,-0.8835179856115104,-1.6657050359712235,-0.18223597122302146,-0.214231654676259,0.41531654676259006,-0.16702014388489209,-2.6973582733812957,-2799.7477697841728,5163.552517985611,0.0,6983.051798561151,773.6244604316547,2956.853237410072,0.0,13525.805755395684,10568.952517985612,73.78071942446044,62.492805755395715,98.0,8.0,1707.0,69.0,530.0,0.0,217.0,18.0,0.0,2203.0,842.0,398.0,1361.0
SE1,2021,10,733,25.601596180081852,3.7290586630286477,-1.0322291950886766,-1.1619645293315144,-0.40712414733969976,-0.5632660300136424,-0.2519699863574352,-0.5400300136425652,-3.9565361527967258,-4046.118281036835,5888.5811732605725,0.0,7258.536152796726,849.1391541609822,4307.866302864939,0.0,14708.703956343792,10400.837653478855,79.19754433833563,63.07557980900411,106.0,9.0,1243.0,63.0,532.0,0.0,338.0,19.0,0.0,1855.0,961.0,506.0,894.0
